,tfidf_prob_Score,Text,Doc_Name
509,1.0," Cody is 14 years old. His grandmother is 6 times as old as he is. How old is Cody's grandmother?
",All-Arithquestions.txt
164,1.0,"A 40 % acid solution and a 55 % acid solution must be mixed to produce 60 liters of a 45 % acid solution. How many liters of 40 % acid solution should be used? How many liters of 55 % acid solution should be used?
",alg514questions.txt
133,1.0,"The sum of two numbers is 32 and the difference is 14. Find the two numbers.
",alg514questions.txt
519,1.0," Oliver had 35 dollars. For his birthday he got 50 more dollars but spent 84 on a new game. How much money does he have now? 
",All-Arithquestions.txt
384,1.0,"Albert has 35 oranges stored in boxes. If there are 7 boxes, how many oranges must go in each box?
",All-Arithquestions.txt
139,1.0,"Latoya purchased a prepaid phone card for 30 dollars. Long distance calls cost 16 cents a minute using this card. Latoya used her card only once to make a long distance call. If the remaining credit on her card is 26.48 dollars , how many minutes did her call last? 
",alg514questions.txt
141,1.0,"Amber has 30 coins in nickels and dimes. In all she has 2.10 dollars. How many nickels and dimes does she have?
",alg514questions.txt
518,1.0," Oliver had 35 dollars. For his birthday he got 50 more dollars but spent 84 on a new game. How much money does he have now? 
",All-Arithquestions.txt
884,1.0," 14 birds were sitting in a tree. 21 more birds flew up to the tree. How many birds were there altogether in the tree?
",illinois(IL)questions.txt
386,1.0,"Steven wants to split a collection of cards into groups of 6. Steven has 30 cards. How many groups will be created?
",All-Arithquestions.txt
1089,1.0,"Edward starts with 92 eggs. He gives 40 to Phillip. How many eggs does Edward end with?
",SingleEQquestions.txt
1024,1.0,"A chef bought 0.14 kilograms of almonds and 0.38 kilograms of pecans . How many kilograms of nuts did the chef buy in all ? 
",SingleEQquestions.txt
1244,1.0," Mr. Guzman bought 48 doughnuts packed equally into 4 boxes. How many doughnuts were in each box?
",SingleEQquestions.txt
150,1.0,"A farmer had some chickens and some cows. She counted 40 heads and 126 legs. How many chickens and how many cows did she have?
",alg514questions.txt
893,1.0," Megan had 49 markers. Robert gave her 39 more markers. How many markers does Megan have altogether?
",illinois(IL)questions.txt
1240,1.0," Megan had 217 markers. Robert gave her 109 more markers. How many markers does Megan have altogether?
",SingleEQquestions.txt
894,1.0," Kelly has 50 Nintendo games. How many does she need to give away so that she will have 35 games left?
",illinois(IL)questions.txt
155,1.0,"Joey makes 100 pounds of a coffee mix. Columbian coffee selling for 8.75 dollars per pound is mixed with Brazilian coffee selling for 3.75 dollars per pound. The final mix sells for 6.35 dollars per pound. How much of each type of coffee is used in the mix?
",alg514questions.txt
156,1.0,"You have space in your garden for 55 small flowering bulbs. Crocus bulbs cost 0.35 dollars each and daffodil bulbs cost 0.65 dollars each. Your budget allows you to spend 29.15 dollars on bulbs. How many crocus bulbs and daffodil bulbs can you buy? 
",alg514questions.txt
