,rnn_sim_score,Text,Doc_Name
0,[[1.]],"A 20-foot board is cut into 2 pieces. Twice the length of the shorter piece is 4 feet more than the length of the longer piece. Find the length of the shorter piece.
",alg514questions.txt
95,[[1.]],"Find the two numbers whose sum is 45 and such that one is 4 times as large as the other.
",alg514questions.txt
92,[[1.]],"The sum of two numbers is 18. If twice the smaller number is 6 more than the larger , find the smaller number and the larger number. 
",alg514questions.txt
91,[[1.]],"Seven times a number is the same as 12 more than 3 times the number. Find the number.
",alg514questions.txt
90,[[1.]],"The sum of two numbers is 73. The second is 7 more than 5 times the first. What is the first number and what is the second one?
",alg514questions.txt
89,[[1.]],"The difference between 0.75 of a line and 0.4 of the same line is 28 centimeters. Find the length of the line.
",alg514questions.txt
88,[[1.]],"Two times the first number is one more than the second number. If their sum is -64 , what are the two numbers? 
",alg514questions.txt
87,[[1.]],"A 69 inch board is cut into 2 pieces. One piece is 2 times the length of the other. What is the length of the shorter piece , in inches? What is the length of the longer piece? 
",alg514questions.txt
86,[[1.]],"If 6 is subtracted from three times a number , the difference is twice the number. What is the number? 
",alg514questions.txt
85,[[1.]],"The sum of 2 numbers is 10. 3 times one of them is more than 4 times the second by 2. Find the smaller number. Find the larger number.
",alg514questions.txt
84,[[1.]],"The sum of 2 numbers is 24. Seven times the smaller number is the same as 5 times the larger number. Find the smaller number. 
",alg514questions.txt
83,[[1.]],"1. Find the 2 numbers whose sum is 108 and whose difference is 24.
",alg514questions.txt
82,[[1.]],"The sum of two consecutive even integers is at most 30. What are the greatest possible consecutive even integers?
",alg514questions.txt
81,[[1.]],"36 more than the product of three and x is the same as 48. Solve for x.
",alg514questions.txt
80,[[1.]],"Twice a number increased by 5 is 17. Find the number.
",alg514questions.txt
79,[[1.]],"The sum of 2 numbers is 138. If three times the smaller number is subtracted from the larger number , the result is 22. Find the two numbers. 
",alg514questions.txt
78,[[1.]],"The shoe store has twice as many black shoes as it does brown shoes. The total number of shoes is 66. How many brown shoes are there?
",alg514questions.txt
77,[[1.]],"The sum of two numbers is 32 and the difference is 14. Find the two numbers.
",alg514questions.txt
76,[[1.]],"1 number is 3 less than twice another number. The sum of the 2 numbers is 51. What is the smaller number? What is the larger number?
",alg514questions.txt
74,[[1.]],"There are 2 numbers whose sum is 65 , such that one is 4 times as large as the other. What is the smaller number? What is the larger number? 
",alg514questions.txt
73,[[1.]],"The sum of two numbers is 62. The greater number exceeds twice the smaller number by 5. What are the two numbers?
",alg514questions.txt
72,[[1.]],"The sum of 2 numbers is 70. The second is 10 more than 3 times the first. Find the smaller number. Find the larger number.
",alg514questions.txt
71,[[1.]],"24 is divided into two parts such that 7 times the first part added to 5 times the second part makes 146. Find each part.
",alg514questions.txt
70,[[1.]],"Three times a number minus a second number is 20. The sum of the two numbers is 48. Find the two numbers.
",alg514questions.txt
69,[[1.]],"0.6667 of a number increased by 0.75 is 1.6667 , what is the number? 
",alg514questions.txt
68,[[1.]],"1 out of 2 numbers is thrice the other. If their sum is 124 , find the numbers. 
",alg514questions.txt
67,[[1.]],"The sum of two numbers is 52 , and their difference is 6. What are the numbers? 
",alg514questions.txt
66,[[1.]],"The difference between 3 times a number and 1 is the same as twice a number. Find the number.
",alg514questions.txt
64,[[1.]],"The product of 10 and a number is the same as 36 less twice that same number. Find the number.
",alg514questions.txt
93,[[1.]],"The sum of 2 integers is 30. 2 times the larger integer is 10 less than 5 times the smaller integer. Find the smaller number and larger number.
",alg514questions.txt
96,[[1.]],"Two numbers are in the ratio 8 to 3. If the sum of numbers is 143 , find the numbers. 
",alg514questions.txt
61,[[1.]],"When 4 times the number is added to 7 times the number the result is 55. What is the number?
",alg514questions.txt
97,[[1.]],"Find two numbers whose sum is 14 if one number is 3 times as large as the other number.
",alg514questions.txt
148,[[1.]]," Albert has two snakes. The garden snake is 10 inches long. The boa constrictor is 7 times longer than the garden snake. How long is the boa  constrictor?
",SingleEQquestions.txt
143,[[1.]],"0.5 the students in the band are in the trumpet section . 0.125 the students in the band are in the trombone section . What fraction of the students in the band are in either the trumpet section or the trombone section ? 
",SingleEQquestions.txt
142,[[1.]],"The Montoya family spends 0.6 their budget on groceries and another 0.2 going out to eat . Altogether , what fraction of their budget does the Montoya family spend on food ? 
",SingleEQquestions.txt
141,[[1.]],"There are 107 walnut trees currently in the park . Park workers will plant 104 walnut trees today . How many walnut trees will the park have when the workers are finished ? 
",SingleEQquestions.txt
134,[[1.]]," Cody is 14 years old. His grandmother is 6 times as old as he is. How old is Cody’s grandmother?
",illinois(IL)questions.txt
133,[[1.]]," Albert has two snakes. The garden snake is 10 inches long. The boa constrictor is 7 times longer than the garden snake. How long is the boa  constrictor?
",illinois(IL)questions.txt
131,[[1.]]," Cody is 14 years old. His grandmother is 6 times as old as he is. How old is Cody's grandmother?
",All-Arithquestions.txt
130,[[1.]]," Albert has two snakes. The garden snake is 10 inches long. The boa constrictor is 7 times longer than the garden snake. How long is the boa  constrictor?
",All-Arithquestions.txt
125,[[1.]],"0.5 the students in the band are in the trumpet section . 0.125 the students in the band are in the trombone section . What fraction of the students in the band are in either the trumpet section or the trombone section ? 
",All-Arithquestions.txt
