,doc2vec_sim_score,Text,Doc_Name
11,[0.9349607]," Misha has 34 dollars. How many dollars does she have to earn to have 47 dollars to buy a dog?
",All-Arithquestions.txt
36,[0.93419325]," Misha has 34 dollars. How many dollars does she have to earn to have 47 dollars to buy a dog?
",illinois(IL)questions.txt
50,[0.92765594]," Misha has 34 dollars. How many dollars does she have to earn to have 47 dollars to buy a dog?
",SingleEQquestions.txt
8,[0.9250301]," Connie had some marbles. She gave 73 to Juan. Now she has 70 marbles left. How many did she have to start with?
",All-Arithquestions.txt
39,[0.9163408]," It takes 4 apples to make 1 pie. How many apples does it take to make 504 pies?
",illinois(IL)questions.txt
4,[0.9024698],"Nancy went to 9 football games this month . She went to 8 games last month , and plans to go to 7 games next month . She paid 3 dollars for the tickets . How many games will she attend in all ? 
",All-Arithquestions.txt
53,[0.8994205]," You want to give your baseball cards to your 5 best friends. You have 455 baseball cards. How many would each get, if you share them  equally?
",SingleEQquestions.txt
35,[0.89752364]," Cindy’s mom baked 1215 cookies. Paul’s dad baked 1112 cookies. They both brought them to school for a party. How many cookies did  they have altogether?
",illinois(IL)questions.txt
13,[0.8952454]," Connie had some marbles. She gave 183 to Juan. Now she has 593 marbles left. How many did she have to start with?
",All-Arithquestions.txt
43,[0.8951769],"Nancy went to 9 football games this month . She went to 8 games last month , and plans to go to 7 games next month . She paid 3 dollars for the tickets . How many games will she attend in all ? 
",SingleEQquestions.txt
33,[0.89157677]," Connie had some marbles. She gave 73 to Juan. Now she has 70 marbles left. How many did she have to start with?
",illinois(IL)questions.txt
49,[0.8885635]," Cindy's mom baked 1215 cookies. Paul's dad baked 1112 cookies. They both brought them to school for a party. How many cookies did  they have altogether?
",SingleEQquestions.txt
38,[0.8871188]," Connie had some marbles. She gave 183 to Juan. Now she has 593 marbles left. How many did she have to start with?
",illinois(IL)questions.txt
32,[0.88651896]," Cindy’s mom baked 41 cookies. Paul’s dad baked 38 cookies. They both brought them to school for a party. How many cookies did they  have altogether?
",illinois(IL)questions.txt
25,[0.88265634]," The cafeteria had 62 apples. For lunch they handed out 8 to students and decided to use the rest to make pies. If each pie takes 9 apples, how many pies could they make? 
",commoncore(CC)questions.txt
31,[0.8815714]," The cafeteria had 75 apples. For lunch they handed out 19 to students and decided to use the rest to make pies. If each pie takes 8 apples, how many pies could they make? 
",commoncore(CC)questions.txt
